artist_name,climate_category,track_count
"The Weeknd, Ariana Grande",Cool,20
"The Weeknd, Ariana Grande",Hot,11
"The Weeknd, Ariana Grande",Warm,21
"The Weeknd, Daft Punk",Cold,6
"The Weeknd, Daft Punk",Cool,20
"The Weeknd, Daft Punk",Hot,11
"The Weeknd, Daft Punk",Warm,21
"The Weeknd, JENNIE, Lily-Rose Depp",Cold,6
"The Weeknd, JENNIE, Lily-Rose Depp",Cool,20
"The Weeknd, JENNIE, Lily-Rose Depp",Hot,11
"The Weeknd, JENNIE, Lily-Rose Depp",Warm,21
"The Weeknd, Playboi Carti",Cold,6
"The Weeknd, Playboi Carti",Cool,20
"The Weeknd, Playboi Carti",Hot,11
"The Weeknd, Playboi Carti",Warm,21
Travis Scott,Cold,30
Travis Scott,Cool,100
Travis Scott,Hot,55
Travis Scott,Warm,103
"Travis Scott, Kacy Hill",Cold,6
"Travis Scott, Kacy Hill",Cool,20
"Travis Scott, Kacy Hill",Hot,11
"Travis Scott, Kacy Hill",Warm,21
"Travis Scott, Playboi Carti",Cold,6
"Travis Scott, Playboi Carti",Cool,20
"Travis Scott, Playboi Carti",Hot,11
"Travis Scott, Playboi Carti",Warm,21
Zach Bryan,Cold,54
Zach Bryan,Cool,180
Zach Bryan,Hot,99
Zach Bryan,Warm,189
"Zach Bryan, Kacey Musgraves",Cold,6
"Zach Bryan, Kacey Musgraves",Cool,20
"Zach Bryan, Kacey Musgraves",Hot,11
"Zach Bryan, Kacey Musgraves",Warm,21
